session_id,id,session_name,title,authors,abstract
14,199,AI Adoption and Organizational Performance,A Lab-Grown Diamond is Forever… Too: Sustainability-Focused Competition and Ecosystem Reconfiguration in the Global Diamond Jewelry Industry,Melissa Appleyard (Portland State University); Kristi Yuthas (Portland State University),"The diamond jewelry industry is undergoing a profound structural transformation as laboratory-grown diamonds (LGDs) have transitioned from niche substitutes to mainstream luxury centerpieces. By 2026, LGDs have captured over half of the U.S. engagement ring market, occurring alongside extreme wholesale price volatility. This disruption, originally rooted in the ethical legacy of ""blood diamonds,"" has evolved into a complex institutional struggle over the definition of sustainability and value.

We introduce the Sustainability-Focused Substitute Ecosystem (SSE) framework to analyze this transition across three pillars. First, we examine supply-focused changes, where the decoupling of production from geological scarcity—facilitated by technological democratization—has led to significant price compression and margin shifts. Second, we analyze institution-focused changes, where new standards such as SCS-007 have enabled both lab-grown and mined diamonds to compete on metrics of carbon neutrality and verified origin. Third, we explore demand-focused changes, where consumer value propositions are being reshaped by the interaction of ethical provenance, product transparency, and shifting perceptions of rarity.

Applying the SSE framework to this longitudinal case, we demonstrate how sustainability has become a contested strategic frame used by both incumbents and disruptors to navigate price volatility and institutional pressure. This analysis provides a tool for understanding how established industries negotiate a new equilibrium when a technologically-driven substitute challenges the fundamental logic of their value chain and market legitimacy."
14,200,AI Adoption and Organizational Performance,Bridging the Deployment Gap: Regional Variance in AI Operationalization and the Drift Compatibility Model,Meena Al-Azzawe (Kinaxis); Melissa Appleyard (Portland State University); Kristi Yuthas (Portland State University),"Industry and policy analyses report a widening gap in AI operationalization: while North America dominates frontier model development, organizations in the Asia-Pacific region are integrating these systems more rapidly into core workflows. These differences persist despite North America’s structural digital maturity and cannot be fully explained by infrastructure or access to talent alone.

We propose that an important sociotechnical variable is the institutional orientation toward determinism and variance. Classical automation and machine-learning pipelines prioritize process control. Deviations require corrective action to maintain stability. Modern AI systems challenge this paradigm at its foundation; instead of eliminating variance, they express it. Generative models produce outputs by sampling from probability distributions. Agentic AI orchestrates reasoning chains that dynamically adjust intermediate actions based on environmental cues, internal heuristics, or updated goals. We term this inherent output variability ""drift""—the natural fluctuation in AI system behavior that stems from probabilistic architectures rather than system failure or degradation. AI deployment introduces new forms of organizational burden that cannot be resolved through technical optimization alone. The movement from deterministic architectures to probabilistic systems requires corresponding changes in organizational cognition, variance-processing norms, and governance structures.

In this paper, we explore how variance-processing capabilities shape AI adoption and introduce the Drift Compatibility Model, a framework that integrates these insights for predicting alignment with probabilistic AI systems. Using this framework, we conceptualize how organizations can interpret, absorb, and leverage drift. This work can inform AI governance and deployment strategies.

"
14,209,AI Adoption and Organizational Performance,From Fragmentation to Scale: A Corporate Center Blueprint for Enterprise AI,Sami Ghaddar (University of Connecticut); Paul Magill (University of Connecticut),"Artificial intelligence (AI) is pushing diversified firms to rethink the corporate center because capabilities can be reused across business units, while failures can create portfolio-wide exposure. Managers face a hybrid design problem: what the corporate center should own versus what should remain with business units, and how standards and escalation can safeguard the enterprise without becoming a bottleneck.

This paper proposes a corporate-center operating blueprint for enterprise AI. The blueprint decomposes AI transformation into discrete activities (data governance, platform/toolchain choices, model deployment, monitoring and incident response, vendor integration) and maps decision authority and execution ownership between the corporate center and business units. It specifies risk-tiered minimum requirements and conditional escalation triggers intended to keep low-risk use cases fast while reserving deeper scrutiny for high-stakes deployments.

The paper is grounded in a structured review of AI-related disclosures in SEC filings for S&P 100 companies (2023-2025). We extract and code AI-related passages from Forms 10-K (Item 1A Risk Factors; Item 7 MD&A) and proxy statements (DEF 14A), capturing: 1) AI framed as enterprise capability, 2) AI framed as enterprise risk, and 3) governance and decision-rights language (board and committee oversight, management accountability, enterprise standards versus local discretion, escalation cues). Publicly documented AI incidents are used to motivate governance mechanisms and boundary conditions. The intended contribution is a practitioner-usable decision-rights map linking corporate strategy research on headquarters design to enterprise AI scaling across industries."
15,33,Advanced Technologies and Digital Innovation,AI Adoption and Firm Performance: Size-Dependent Effects and the Moderating Role of Regional Innovation Ecosystems,Marco Cucculelli (Università Politecnica Delle Marche); Ali Shah (Università Politecnica Delle Marche),"This paper examines how artificial intelligence (AI) adoption shapes firm performance by combining a large panel of Italian firms observed from 2015 to 2024 with detailed regional indicators of innovation ecosystems. The analysis shows that AI adoption is positively associated with firm growth, both in value added and total factor productivity (TFP). However, the benefits are not evenly distributed across firms. A clear U-shaped pattern emerges: small and large firms achieve the largest performance gains, whereas medium-sized firms benefit less. The regional context further conditions these effects. Firms located in less-developed regions—with weaker innovation infrastructure, lower knowledge creation, and fewer collaboration networks—experience larger performance improvements from adopting AI, suggesting that advanced technologies can substitute for missing external capabilities. Taken together, the results highlight that both organizational scale and regional environments shape the effectiveness of AI deployment. They also indicate that, under the right conditions, AI can support economic convergence by helping lagging firms and regions catch up."
15,92,Advanced Technologies and Digital Innovation,From Tolerance to Termination: How Venture Capitalists Decide on Startups’ Invention Failures,Shu Deng (University of Mississippi); Jung H. Kwon (University of Denver),"Venture capitalists (VCs) routinely face the challenge of deciding whether to persist in or terminate investments as new information about startup performance unfolds. In innovation-driven contexts, this decision is particularly complex because technological experimentation inevitably generates invention failures that are ambiguous in their implications—startups’ invention failure can either serve as a signal of learning or a trigger of abandonment. Little is known about when and why failure sustains versus undermines investor commitment. We address this puzzle by conceptualizing VC follow-on investment decisions as an optimal stopping problem in which investors balance the informational value of waiting against the costs of continued commitment.
We develop a formal model in which VCs observe new information about startups’ invention activities and follow threshold-based rules governing investment continuation and termination. The model predicts a non-monotonic relationship between invention failure and investment termination: moderate failure enhances learning and increases the value of waiting, whereas very low or excessive failure reduces expected future payoffs and accelerates exit. Importantly, the model also predicts systematic heterogeneity in stopping thresholds across investors, shaped by differences in experiential depth and breadth.
We test these predictions using a novel dataset that links U.S. venture capital investments to detailed patent application outcomes. Analyzing 16,013 funding rounds involving 2,328 VCs and 3,392 startups from 2002 to 2022, we find robust evidence of a U-shaped relationship between startups’ invention failure rates and the likelihood of VC investment termination. Consistent with optimal stopping logic, termination likelihood is lowest at intermediate levels of failure. Moreover, this relationship varies systematically with investor experience. VCs with deeper technological or industrial familiarity exhibit greater tolerance for invention failure, shifting termination thresholds rightward, whereas VCs with broader experience across technologies or industries terminate investments at lower levels of failure due to higher opportunity costs.
These findings contribute to research on entrepreneurial experimentation, venture capital decision-making, and strategic persistence by offering a dynamic, forward-looking explanation for failure tolerance. By framing investment continuation and exit as optimal timing decisions, this study reconciles competing views of failure and highlights how investor experience conditions the strategic meaning of negative innovation signals. Practically, the results underscore that effective governance of entrepreneurial experimentation depends not only on observing failure, but on interpreting its magnitude and timing relative to investors’ capabilities and opportunity sets.
"
15,52,Advanced Technologies and Digital Innovation,The Value of Cross-Product and Cross-Location Information in Demand Forecasting,Rang (Rae) Gong (The Ohio State University); Walter Zinn (The Ohio State University); Xiang (Sean) Wan (The Ohio State University); Keely Croxton (The Ohio State University),"(a) Purpose of the study/piece: Accurate demand forecasting is fundamental to achieving reliable and efficient operations in supply chains, yet forecasting performance remains limited in many real-world environments characterized by high uncertainty, demand variability, and sparse historical data. Traditional forecasting approaches primarily rely on a product’s own historical demand, which restricts their ability to capture market dynamics shaped by substitution behavior, complementary consumption, and competitive interactions across stores. This research examines whether incorporating cross-product and cross-location information can improve item-level forecasting accuracy and identifies the conditions under which such information provides the greatest value.  (b) Research method: We use a transformer-based time-series framework to incorporate these relational features into the analysis. Product-level substitution and complementary relationships are quantified based on historical co-movement in demand, and cross-location information is represented using demand signals from nearby stores identified by geographic proximity. These relational inputs are compared against baseline models that rely only on an item’s historical demand to assess whether they improve forecasting performance and under what conditions the improvements are most substantial. The analysis uses real-world transactional data from a healthcare services company, including more than 90 million observations across over 2,500 locations and 7,000 products. (c) Findings or Predicted Findings: Preliminary results show that incorporating cross-product and cross-location information yields meaningful improvements in item-level forecasting accuracy compared to models that rely only on each item’s historical demand. At this stage, we have demonstrated the proof-of-concept and will continue to fine-tune the analysis. The next phase of the analysis will examine the contribution of different relationship types individually and use post-hoc analysis to see which relationships contribute more to accuracy improvement. We will then compare forecasting accuracy improvements across different demand environments and relationship configurations, enabling clearer interpretation of when and why relational information is most beneficial. (d) This work shows how research can integrate managerial thinking into algorithm development by embedding real operational relationships directly into the modeling process. The research contributes theoretically by demonstrating that relational information across products and nearby stores holds predictive value and improves forecasting performance compared to treating items independently. From a managerial perspective, more accurate forecasts can support better inventory positioning, reduced stockouts, fewer emergency reallocations, and more responsive replenishment strategies. Additionally, the research helps improve understanding of the root reasons behind customer decision-making behavior by revealing how purchasing patterns reflect underlying relational demand dynamics."
15,194,Advanced Technologies and Digital Innovation,Stars vs. Centrality: What Matters in New Digital Product Development Teams?,Karthik Ramachandran (Georgia Institute of Technology),"We examine how team composition mechanisms, specifically the presence of stars (i.e., high performers) and centrally connected members, shape performance outcomes in new digital product development. Using the video game industry as an innovative setting, we test whether stars are essential for success or whether team members with central connections can provide comparable benefits and substitute for stars.

We assemble a dataset of video game development projects and map collaboration ties from industry credits to construct measures of stardom and network position (including PageRank centrality). We link these team characteristics to new product sales and estimate their effects using causal inference techniques, confirming results across specifications.

Our findings reveal that while stars enhance performance, their presence is not essential in this industry. Instead, centrally connected individuals diminish the impact of stars, illustrating a substitutive relationship between stardom and centrality. Well-connected members act as a human platform that aggregates ties, facilitates information sharing, and connects teams to the larger developer ecosystem, helping firms manage risk and uncertainty in hit-driven markets.

These results contribute to research on innovation and new digital product development by clarifying when network position matters more than star power in assembling product teams. They also offer practical guidance for resourcing and staffing decisions: firms should consider the substitutive relationship between centrality and stardom when making recruitment strategies, team design decisions, and resource allocation for product development. Hiring someone with strong connections can deliver similar results, often at lower cost."
16,77,Entrepreneurial Ecosystems and Clusters,Rebirth from Disrepute:  Overcoming Legitimacy Bottleneck for Innovation Ecosystem Creation in the Context of Industry Re-emergence,Runjin Guo (Zhejiang University); Yining Luo (Zhejiang University),"As the concept of ecosystem receives increasing attention in managerial research, overcoming key bottlenecks during ecosystem creation remains a persistent challenge. Existing empirical research has primarily examined large-scale or mature ecosystems with stable elements (Adner, 2017), often overlooking how ecosystems emerge from re-emerging industry contexts, where the unique conditions and barriers to ecosystem creation remain underexplored. When creating an ecosystem in a re-emerging industry, cognitive legacies from the past and the challenge of articulating a compelling vision for the future often constitute a significant hurdle—what we refer to as a “legitimacy bottleneck”. Thus we ask: How can the legitimacy bottleneck be overcome when creating an innovation ecosystem in the context of industry re-emergence?

Through a case study of the Dendrobium officinale industry, a kind of traditional Chinese Medicine, we uncover the mechanism of how ecosystem actors emerge and interact to overcome the legitimacy bottleneck and facilitate the ecosystem creation. Following Yin (2009) and Gioia et al. (2013) method, we collect data from semi-structured interviews and archives, develop chronologies of events, recognize structures of ecosystem actors at each temporal phase, and develop aggregated themes to identify key mechanisms. We develop a process model that highlights the three phases of innovation ecosystem creation and legitimacy bottleneck resolution in industry re-emergence context, including modernization, destigmatization and legitimization. Technological upgrading in the modernization phase enabled ecosystem emergence; when legitimacy bottleneck emerges due to fraud scandal, the government was involved in to push industry standardization, stigma reduction and social cognition enhancement; finally, broader actor participation in the legitimization phase supported category reframing and market expansion.

Our findings illustrate how an innovation ecosystem gradually forms within a legacy industry, outlining the processes and temporal sequencing of its developmental phases, thereby enriching the literature on ecosystem evolution in nascent contexts. On the one hand, we offer empirical evidence of how an innovation ecosystem is created gradually within a legacy industry. Our study sharpens the understanding of how extant actors in an ecosystem introduce or cultivate new organizations to build the ecosystem capability portfolio. On the other hand, our finding extends industrial legitimacy literature by identifying the legitimacy bottleneck and revealing how key actors emerge and interact dynamically to overcome it, thus brings attention to the source and resolution of legitimacy bottleneck ecosystem may face in re-emerging industries.

References
Adner, R. 2017. Ecosystem as Structure: An Actionable Construct for Strategy. Journal of Management, 43(1), 39–58.
Gioia, D. A., Corley, K. G., & Hamilton, A. L. 2013. Seeking Qualitative Rigor in Inductive Research: Notes on the Gioia Methodology. Organizational Research Methods, 16(1), 15–31. 
Yin, R. K. 2009. Case Study Research: Design and Methods. SAGE Publications."
16,123,Entrepreneurial Ecosystems and Clusters,Measuring Regional Markets for Innovation Space,Christopher Smith (University of Southern Mississippi); Utkarsha Dahal (University of Southern Mississippi),"The measurement of innovation activity and its economic impact traditionally has focused on employment and industrial output indicators. However, these metrics have some notable limitations. One limitation is they do not account for the capacity-building processes within innovation ecosystems which comprise a significant aspect of innovation activity. For example, capital expenditures on facilities to support research, development, and commercialization activities are not reflected in such indicators. Investment in innovation facilities are real estate market events which can affect prices of adjacent real estate properties. They also send important signals about the expansion of innovation capacity to ecosystem stakeholders. Such signals can spur demand for adjacent real estate properties which may be captured in price trends. Investment in innovation facilities may also entice new real estate development projects. Innovation facilities may also induce new foot traffic patterns both for the facility and for neighboring establishments. Current approaches to measuring innovation activity leave innovation researchers without the ability to incorporate the information provided by such capacity-building activity into their analysis and planning. 

This paper fill this information gap by analyzing regional markets for R&D (research and development) space. Although it is a niche market, the demand and supply of R&D space send important signals about future innovation ecosystem performance. The future demand for R&D space provides useful information about the attractiveness of a community to firms involved in technology-based innovation activities. Similarly, the projected supply of R&D space provides information about local growth of innovation capacity and about the likelihood of a future surplus or deficit of supply. This information can help guide the plans of developers and policymakers."
16,132,Entrepreneurial Ecosystems and Clusters,How Entrepreneurial Ecosystems Shape Startup Exit under Macro-Institutional Shocks,Indu Khurana (Hampden-Sydney College); Ananya Sheth (Cal Poly),"We examine how entrepreneurial ecosystems shape startup exit under macro-institutional shocks. Prior research treats exit as a firm-level outcome, paying less attention to how ecosystem structure conditions which exit pathways remain viable as institutional conditions shift. We argue that ecosystems shape exit through two structural properties. First, exit pathways differ in institutional exposure—the degree to which successful exit depends on politically contingent, formally regulated, and cross-border institutional arrangements. Among the two main harvest exit pathways, Initial Public Offerings (IPOs) exhibit high exposure, whereas acquisitions are comparatively buffered. Second, entrepreneurial ecosystems vary in exit pathway concentration—some concentrate exit activity around a single dominant pathway; others support multiple viable routes. Using 1,572 battery technology startups founded in the United States and China between 1990 and 2024, we examine the impact of rising U.S.-China tension as a macro-institutional shock on exit outcomes. In ecosystems with diversified exit pathways, bilateral tension more than doubles IPO likelihood and accelerates time to IPO by approximately ten years. In ecosystems with concentrated exit pathways, bilateral tension reduces IPO likelihood by 29 percent, and this acceleration does not occur, resulting in a 14-year divergence in IPO timing across ecosystem types. Acquisition exits remain unaffected regardless of exit pathway concentration, consistent with their lower institutional exposure. These findings articulate a macro–meso–micro linkage by showing how ecosystem exit pathway concentration moderates the impact of macro-institutional shocks on firm-level exit through institutionally exposed pathways."
